DESIGNATOR,MID X,MID Y,ROTATION,LAYER
C1,146.965,-48.74,0,top
C2,179.125,-86.73,180,top
C3,146.97,-43.99,180,top
C4,187.17,-84.57,180,top
C5,146.965,-45.58,0,top
C6,179.305,-89.94,180,top
C7,169.365,-49.04,0,top
C8,194.61,-86.94,180,top
C9,169.465,-44.03,180,top
C10,206.105,-86.85,0,top
C11,169.445,-45.69,0,top
C12,194.745,-90.44,180,top
C13,190.535,-48.63,180,top
C14,190.505,-43.85,180,top
C15,190.515,-45.43,180,top
C16,230.32,-57.89,180,top
C17,234.99,-57.88,0,top
C18,230.195,-68.1,180,top
J1,149.11,-101.51,90,top
J2,139.645,-53.34,90,top
J3,171.85,-101.51,90,top
J4,184.655,-53.37,-90,top
J5,146.64,-114.67,90,top
J6,194.63,-101.51,90,top
J7,189.13,-53.42,90,top
J8,145.02,-37.33,90,top
J9,214.89,-53.18,0,top
J10,250.73,-56,0,top
R6,230.215,-66.54,180,top
R7,230.125,-78.27,180,top
R8,230.805,-103.4,180,top
R9,230.355,-90.1,180,top
U1,152.285,-45.7775,90,top
U2,184.815,-88.96,0,top
U3,174.59,-46.71,90,top
U4,200.36,-89.14,0,top
U5,195.78,-45.69,90,top
U6,232.5875,-62.21,0,top
U7,233.1575,-99.085,0,top
U8,232.5025,-73.985,0,top
U9,232.74,-85.65,0,top
